,index,Topic Importance,topic_id,date,Titulo,key,Topic
168,24,0.5018109260095793,0,2019-03-21 03:00:00+00:00,221th Copom Minutes,221th,Policy Intervention
169,23,0.5006993391337051,0,2019-05-08 03:00:00+00:00,222nd Copom Minutes,222nd,Policy Intervention
170,22,0.49854645762656,0,2019-06-19 03:00:00+00:00,223rd Copom Minutes,223rd,Policy Intervention
171,21,0.4890851033107316,0,2019-07-31 03:00:00+00:00,224th Copom Minutes,224th,Policy Intervention
172,20,0.48147651411571757,0,2019-09-18 03:00:00+00:00,225th Copom Minutes,225th,Policy Intervention
173,19,0.4960856195708008,0,2019-10-30 03:00:00+00:00,226th Copom Minutes,226th,Policy Intervention
174,18,0.4876708189096822,0,2019-12-11 03:00:00+00:00,227th Copom Minutes,227th,Policy Intervention
175,17,0.4728728407334218,0,2020-02-05 03:00:00+00:00,228th Copom Minutes,228th,Policy Intervention
176,16,0.4474591687922804,0,2020-03-18 03:00:00+00:00,229th Copom Minutes,229th,Policy Intervention
177,15,0.4380456469012943,0,2020-05-06 17:00:00+00:00,230th Copom Minutes,230th,Policy Intervention
178,14,0.46564604351133776,0,2020-06-17 17:35:00+00:00,231st Copom Minutes,231st,Policy Intervention
179,13,0.46870682892107685,0,2020-08-05 03:00:00+00:00,"232nd Meeting – August 4-5, 2020",232nd,Policy Intervention
180,12,0.46666763135079,0,2020-09-16 03:00:00+00:00,"233rd Meeting - September 15-16, 2020",233rd,Policy Intervention
181,11,0.4739927360251215,0,2020-10-28 03:00:00+00:00,"234th Meeting - October 27-28, 2020",234th,Policy Intervention
182,10,0.4718845609581486,0,2020-12-09 03:00:00+00:00,"235th Meeting - December 8-9, 2020",235th,Policy Intervention
183,9,0.4723245533036573,0,2021-01-20 03:00:00+00:00,"236th Meeting - January 19-20, 2021",236th,Policy Intervention
184,8,0.46581770831200797,0,2021-03-17 03:00:00+00:00,"237th Meeting - March 16-17, 2021",237th,Policy Intervention
185,7,0.4771425789597429,0,2021-05-05 03:00:00+00:00,"238th Meeting - May 4-5, 2021",238th,Policy Intervention
186,6,0.47049184873215566,0,2021-06-16 03:00:00+00:00,"239th Meeting - June 15-16, 2021",239th,Policy Intervention
187,5,0.459371291439115,0,2021-08-04 03:00:00+00:00,"240th Meeting - August 3-4, 2021",240th,Policy Intervention
188,4,0.4583048725679595,0,2021-09-22 03:00:00+00:00,"241st Meeting - September 21-22, 2021",241st,Policy Intervention
189,3,0.45648776201174585,0,2021-10-27 03:00:00+00:00,"242nd Meeting - October 26-27, 2021",242nd,Policy Intervention
190,2,0.4590099464272839,0,2021-12-08 03:00:00+00:00,"243rd Meeting - December 7-8, 2021",243rd,Policy Intervention
191,1,0.443531100931586,0,2022-02-02 03:00:00+00:00,"244th Meeting - February 1-2, 2022",244th,Policy Intervention
192,0,0.441204807770696,0,2022-03-16 03:00:00+00:00,"245th Meeting - March 15-16, 2022",245th,Policy Intervention
361,24,0.17231037131653285,1,2019-03-21 03:00:00+00:00,221th Copom Minutes,221th,Exchange Rate
362,23,0.1712032761100217,1,2019-05-08 03:00:00+00:00,222nd Copom Minutes,222nd,Exchange Rate
363,22,0.1746557680631111,1,2019-06-19 03:00:00+00:00,223rd Copom Minutes,223rd,Exchange Rate
364,21,0.18167505627503525,1,2019-07-31 03:00:00+00:00,224th Copom Minutes,224th,Exchange Rate
365,20,0.17833727429363433,1,2019-09-18 03:00:00+00:00,225th Copom Minutes,225th,Exchange Rate
366,19,0.17060549867236519,1,2019-10-30 03:00:00+00:00,226th Copom Minutes,226th,Exchange Rate
367,18,0.17158341255653722,1,2019-12-11 03:00:00+00:00,227th Copom Minutes,227th,Exchange Rate
368,17,0.18042762223995373,1,2020-02-05 03:00:00+00:00,228th Copom Minutes,228th,Exchange Rate
369,16,0.19218101621597505,1,2020-03-18 03:00:00+00:00,229th Copom Minutes,229th,Exchange Rate
370,15,0.20010961800815313,1,2020-05-06 17:00:00+00:00,230th Copom Minutes,230th,Exchange Rate
371,14,0.18655992213799927,1,2020-06-17 17:35:00+00:00,231st Copom Minutes,231st,Exchange Rate
372,13,0.18447101655351042,1,2020-08-05 03:00:00+00:00,"232nd Meeting – August 4-5, 2020",232nd,Exchange Rate
373,12,0.18432018161559982,1,2020-09-16 03:00:00+00:00,"233rd Meeting - September 15-16, 2020",233rd,Exchange Rate
374,11,0.18453280585074458,1,2020-10-28 03:00:00+00:00,"234th Meeting - October 27-28, 2020",234th,Exchange Rate
375,10,0.1790036629554041,1,2020-12-09 03:00:00+00:00,"235th Meeting - December 8-9, 2020",235th,Exchange Rate
376,9,0.1747390557069586,1,2021-01-20 03:00:00+00:00,"236th Meeting - January 19-20, 2021",236th,Exchange Rate
377,8,0.1873924806991206,1,2021-03-17 03:00:00+00:00,"237th Meeting - March 16-17, 2021",237th,Exchange Rate
378,7,0.18116829736892806,1,2021-05-05 03:00:00+00:00,"238th Meeting - May 4-5, 2021",238th,Exchange Rate
379,6,0.17889162044564633,1,2021-06-16 03:00:00+00:00,"239th Meeting - June 15-16, 2021",239th,Exchange Rate
380,5,0.18795622982707824,1,2021-08-04 03:00:00+00:00,"240th Meeting - August 3-4, 2021",240th,Exchange Rate
381,4,0.191743946184989,1,2021-09-22 03:00:00+00:00,"241st Meeting - September 21-22, 2021",241st,Exchange Rate
382,3,0.18696396167615748,1,2021-10-27 03:00:00+00:00,"242nd Meeting - October 26-27, 2021",242nd,Exchange Rate
383,2,0.18648043954215882,1,2021-12-08 03:00:00+00:00,"243rd Meeting - December 7-8, 2021",243rd,Exchange Rate
384,1,0.19104756408046786,1,2022-02-02 03:00:00+00:00,"244th Meeting - February 1-2, 2022",244th,Exchange Rate
385,0,0.19052971984162229,1,2022-03-16 03:00:00+00:00,"245th Meeting - March 15-16, 2022",245th,Exchange Rate
554,24,0.14879005493272257,2,2019-03-21 03:00:00+00:00,221th Copom Minutes,221th,Economic Growth
555,23,0.1497876620339147,2,2019-05-08 03:00:00+00:00,222nd Copom Minutes,222nd,Economic Growth
556,22,0.14707912492022474,2,2019-06-19 03:00:00+00:00,223rd Copom Minutes,223rd,Economic Growth
557,21,0.15116511405776997,2,2019-07-31 03:00:00+00:00,224th Copom Minutes,224th,Economic Growth
558,20,0.15670403614437753,2,2019-09-18 03:00:00+00:00,225th Copom Minutes,225th,Economic Growth
559,19,0.15440286486591792,2,2019-10-30 03:00:00+00:00,226th Copom Minutes,226th,Economic Growth
560,18,0.15838939338607966,2,2019-12-11 03:00:00+00:00,227th Copom Minutes,227th,Economic Growth
561,17,0.16086949324526859,2,2020-02-05 03:00:00+00:00,228th Copom Minutes,228th,Economic Growth
562,16,0.16878039045801363,2,2020-03-18 03:00:00+00:00,229th Copom Minutes,229th,Economic Growth
563,15,0.17147695027111395,2,2020-05-06 17:00:00+00:00,230th Copom Minutes,230th,Economic Growth
564,14,0.1586233741012198,2,2020-06-17 17:35:00+00:00,231st Copom Minutes,231st,Economic Growth
565,13,0.1582593554109816,2,2020-08-05 03:00:00+00:00,"232nd Meeting – August 4-5, 2020",232nd,Economic Growth
566,12,0.16201756990469005,2,2020-09-16 03:00:00+00:00,"233rd Meeting - September 15-16, 2020",233rd,Economic Growth
567,11,0.15528855329882774,2,2020-10-28 03:00:00+00:00,"234th Meeting - October 27-28, 2020",234th,Economic Growth
568,10,0.16093774436304709,2,2020-12-09 03:00:00+00:00,"235th Meeting - December 8-9, 2020",235th,Economic Growth
569,9,0.16283379755839728,2,2021-01-20 03:00:00+00:00,"236th Meeting - January 19-20, 2021",236th,Economic Growth
570,8,0.16068008755719357,2,2021-03-17 03:00:00+00:00,"237th Meeting - March 16-17, 2021",237th,Economic Growth
571,7,0.1580211349795662,2,2021-05-05 03:00:00+00:00,"238th Meeting - May 4-5, 2021",238th,Economic Growth
572,6,0.16385289415035037,2,2021-06-16 03:00:00+00:00,"239th Meeting - June 15-16, 2021",239th,Economic Growth
573,5,0.16530351298863188,2,2021-08-04 03:00:00+00:00,"240th Meeting - August 3-4, 2021",240th,Economic Growth
574,4,0.16522140860618997,2,2021-09-22 03:00:00+00:00,"241st Meeting - September 21-22, 2021",241st,Economic Growth
575,3,0.16809076929345204,2,2021-10-27 03:00:00+00:00,"242nd Meeting - October 26-27, 2021",242nd,Economic Growth
576,2,0.16677522109676024,2,2021-12-08 03:00:00+00:00,"243rd Meeting - December 7-8, 2021",243rd,Economic Growth
577,1,0.17176629042999447,2,2022-02-02 03:00:00+00:00,"244th Meeting - February 1-2, 2022",244th,Economic Growth
578,0,0.1763094082462021,2,2022-03-16 03:00:00+00:00,"245th Meeting - March 15-16, 2022",245th,Economic Growth
747,24,0.17708864774116528,3,2019-03-21 03:00:00+00:00,221th Copom Minutes,221th,Inflation Growth
748,23,0.17830972272235854,3,2019-05-08 03:00:00+00:00,222nd Copom Minutes,222nd,Inflation Growth
749,22,0.17971864939010418,3,2019-06-19 03:00:00+00:00,223rd Copom Minutes,223rd,Inflation Growth
750,21,0.1780747263564632,3,2019-07-31 03:00:00+00:00,224th Copom Minutes,224th,Inflation Growth
751,20,0.18348217544627055,3,2019-09-18 03:00:00+00:00,225th Copom Minutes,225th,Inflation Growth
752,19,0.17890601689091612,3,2019-10-30 03:00:00+00:00,226th Copom Minutes,226th,Inflation Growth
753,18,0.1823563751477009,3,2019-12-11 03:00:00+00:00,227th Copom Minutes,227th,Inflation Growth
754,17,0.1858300437813559,3,2020-02-05 03:00:00+00:00,228th Copom Minutes,228th,Inflation Growth
755,16,0.19157942453373092,3,2020-03-18 03:00:00+00:00,229th Copom Minutes,229th,Inflation Growth
756,15,0.19036778481943858,3,2020-05-06 17:00:00+00:00,230th Copom Minutes,230th,Inflation Growth
757,14,0.18917066024944315,3,2020-06-17 17:35:00+00:00,231st Copom Minutes,231st,Inflation Growth
758,13,0.18856279911443113,3,2020-08-05 03:00:00+00:00,"232nd Meeting – August 4-5, 2020",232nd,Inflation Growth
759,12,0.18699461712892018,3,2020-09-16 03:00:00+00:00,"233rd Meeting - September 15-16, 2020",233rd,Inflation Growth
760,11,0.18618590482530617,3,2020-10-28 03:00:00+00:00,"234th Meeting - October 27-28, 2020",234th,Inflation Growth
761,10,0.1881740317234002,3,2020-12-09 03:00:00+00:00,"235th Meeting - December 8-9, 2020",235th,Inflation Growth
762,9,0.19010259343098682,3,2021-01-20 03:00:00+00:00,"236th Meeting - January 19-20, 2021",236th,Inflation Growth
763,8,0.18610972343167784,3,2021-03-17 03:00:00+00:00,"237th Meeting - March 16-17, 2021",237th,Inflation Growth
764,7,0.18366798869176282,3,2021-05-05 03:00:00+00:00,"238th Meeting - May 4-5, 2021",238th,Inflation Growth
765,6,0.18676363667184764,3,2021-06-16 03:00:00+00:00,"239th Meeting - June 15-16, 2021",239th,Inflation Growth
766,5,0.1873689657451749,3,2021-08-04 03:00:00+00:00,"240th Meeting - August 3-4, 2021",240th,Inflation Growth
767,4,0.18472977264086154,3,2021-09-22 03:00:00+00:00,"241st Meeting - September 21-22, 2021",241st,Inflation Growth
768,3,0.18845750701864464,3,2021-10-27 03:00:00+00:00,"242nd Meeting - October 26-27, 2021",242nd,Inflation Growth
769,2,0.18773439293379707,3,2021-12-08 03:00:00+00:00,"243rd Meeting - December 7-8, 2021",243rd,Inflation Growth
770,1,0.19365504455795168,3,2022-02-02 03:00:00+00:00,"244th Meeting - February 1-2, 2022",244th,Inflation Growth
